ID_Regat,Nazwa,Liga_Poziom,Miasto,Numer_Rundy,Rok
99194464,1 Liga - Runda 1,1 Liga,Sopot (1),1,2019
90193164,1 Liga - Runda 2,1 Liga,Sopot (2),2,2019
39885461,1 Liga - Runda 3,1 Liga,Szczecin (1),3,2019
16400118,1 Liga - Runda 4,1 Liga,Szczecin (2),4,2019
96787646,1 Liga - Runda 1,1 Liga,Sopot(1),1,2020
61637084,1 Liga - Runda 2,1 Liga,Sopot(2),2,2020
11173302,1 Liga - Runda 3,1 Liga,Szczecin(1),3,2020
56595466,1 Liga - Runda 4,1 Liga,Szczecin(2),4,2020
79772225,1 Liga - Runda 1,1 Liga,Sopot,1,2021
20201142,1 Liga - Runda 2,1 Liga,Gdynia,2,2021
96613811,1 Liga - Runda 3,1 Liga,Szczecin,3,2021
68966834,1 Liga - Runda 4,1 Liga,Warszawa,4,2021
31071604,1 Liga - Runda 1,1 Liga,Sopot,1,2022
59609769,1 Liga - Runda 2,1 Liga,Gdynia,2,2022
51626046,1 Liga - Runda 3,1 Liga,Trzebież,3,2022
72870325,1 Liga - Runda 4,1 Liga,Warszawa,4,2022
10285883,1 Liga - Runda 1,1 Liga,Sopot,1,2023
50632845,1 Liga - Runda 2,1 Liga,Gdynia,2,2023
60773118,1 Liga - Runda 3,1 Liga,Olsztyn,3,2023
23242296,1 Liga - Runda 4,1 Liga,Sztynort,4,2023
32915456,1 Liga - Runda 1,1 Liga,Nowy Sztynort,1,2024
8389469,1 Liga - Runda 2,1 Liga,Sopot,2,2024
16432618,1 Liga - Runda 3,1 Liga,Gdynia,3,2024
19492707,1 Liga - Runda 4,1 Liga,Szczecin,4,2024
69259421,1 Liga - Runda 1,1 Liga,Sopot,1,2025
87373489,1 Liga - Runda 2,1 Liga,Gdynia,2,2025
16117658,1 Liga - Runda 3,1 Liga,Puck,3,2025
79701472,1 Liga - Runda 4,1 Liga,Szczecin,4,2025
65285653,2 Liga - Runda 1,2 Liga,Sopot (1),1,2022
51774063,2 Liga - Runda 2,2 Liga,Sopot (2),2,2022
72731202,2 Liga - Runda 3,2 Liga,Szczecin (1),3,2022
71128501,2 Liga - Runda 4,2 Liga,Szczecin (2),4,2022
98027676,2 Liga - Runda 1,2 Liga,1 runda,1,2023
75270731,2 Liga - Runda 2,2 Liga,2 runda,2,2023
44960821,2 Liga - Runda 3,2 Liga,3 runda,3,2023
39731721,2 Liga - Runda 4,2 Liga,Finał,4,2023
77100366,Ekstraklasa - Runda 1,Ekstraklasa,Szczecin,1,2015
42322105,Ekstraklasa - Runda 2,Ekstraklasa,Świnoujście,2,2015
73972099,Ekstraklasa - Runda 3,Ekstraklasa,Gdańsk,3,2015
1584594,Ekstraklasa - Runda 4,Ekstraklasa,Sopot,4,2015
46476906,Ekstraklasa - Runda 1,Ekstraklasa,Szczecin,1,2016
34786669,Ekstraklasa - Runda 2,Ekstraklasa,Świnoujście,2,2016
59734039,Ekstraklasa - Runda 3,Ekstraklasa,Gdynia,3,2016
80803598,Ekstraklasa - Runda 4,Ekstraklasa,Sopot,4,2016
16861691,Ekstraklasa - Runda 1,Ekstraklasa,Sopot,1,2017
52984811,Ekstraklasa - Runda 2,Ekstraklasa,Świnoujście,2,2017
85657695,Ekstraklasa - Runda 3,Ekstraklasa,Gdynia,3,2017
85326506,Ekstraklasa - Runda 4,Ekstraklasa,Szczecin,4,2017
76884717,Ekstraklasa - Runda 1,Ekstraklasa,Gdynia,1,2018
42903369,Ekstraklasa - Runda 2,Ekstraklasa,Szczecin,2,2018
79990660,Ekstraklasa - Runda 3,Ekstraklasa,Świnoujście,3,2018
23503367,Ekstraklasa - Runda 4,Ekstraklasa,Sopot,4,2018
56840754,Ekstraklasa - Runda 1,Ekstraklasa,Sopot,1,2019
81519758,Ekstraklasa - Runda 2,Ekstraklasa,Gdynia,2,2019
40323829,Ekstraklasa - Runda 3,Ekstraklasa,Świnoujście,3,2019
27131848,Ekstraklasa - Runda 4,Ekstraklasa,Szczecin,4,2019
79103275,Ekstraklasa - Runda 1,Ekstraklasa,Szczecin,1,2020
11291612,Ekstraklasa - Runda 2,Ekstraklasa,Sopot(1),2,2020
48680673,Ekstraklasa - Runda 3,Ekstraklasa,Sopot(2),3,2020
78707344,Ekstraklasa - Runda 4,Ekstraklasa,Świnoujście,4,2020
7819477,Ekstraklasa - Runda 1,Ekstraklasa,Sopot,1,2021
34461511,Ekstraklasa - Runda 2,Ekstraklasa,Gdynia,2,2021
53378923,Ekstraklasa - Runda 3,Ekstraklasa,Szczecin,3,2021
16116614,Ekstraklasa - Runda 4,Ekstraklasa,Warszawa,4,2021
21078561,Ekstraklasa - Runda 1,Ekstraklasa,Sopot,1,2022
4685116,Ekstraklasa - Runda 2,Ekstraklasa,Gdynia,2,2022
9923664,Ekstraklasa - Runda 3,Ekstraklasa,Trzebież,3,2022
15498062,Ekstraklasa - Runda 4,Ekstraklasa,Warszawa,4,2022
46597156,Ekstraklasa - Runda 1,Ekstraklasa,Sopot,1,2023
97148389,Ekstraklasa - Runda 2,Ekstraklasa,Gdynia,2,2023
72722761,Ekstraklasa - Runda 3,Ekstraklasa,Olsztyn,3,2023
8491828,Ekstraklasa - Runda 4,Ekstraklasa,Sztynort,4,2023
9664111,Ekstraklasa - Runda 1,Ekstraklasa,Nowy Sztynort,1,2024
70902597,Ekstraklasa - Runda 2,Ekstraklasa,Sopot,2,2024
94367801,Ekstraklasa - Runda 3,Ekstraklasa,Gdynia,3,2024
74940339,Ekstraklasa - Runda 4,Ekstraklasa,Szczecin,4,2024
133713,Ekstraklasa - Runda 1,Ekstraklasa,Sopot,1,2025
14732889,Ekstraklasa - Runda 2,Ekstraklasa,Gdynia,2,2025
72158401,Ekstraklasa - Runda 3,Ekstraklasa,Puck,3,2025
66750266,Ekstraklasa - Runda 4,Ekstraklasa,Szczecin,4,2025
41227949,Youth - Runda 1,Youth,Sopot,1,2025
28212392,Youth - Runda 2,Youth,Gdynia,2,2025
86083690,Youth - Runda 3,Youth,Puck,3,2025
