ID_zestawienia_klubow,Nazwa
9000,77racing Club
9001,Akademia Żeglarstwa w Środzie Wielkopolskiej 2
9003,KS Iskra AMW Gdynia
9004,Klub Żeglarski Auto Podlasie
9005,AZS AWFiS Gdańsk
9006,AWF Katowice
9007,AZS Poznań
9009,Sailing Team Boleslawiec
9011,PZKS Dżygit Białystok
9013,Etisoft 2KMM Sailing Team
9014,WKS Flota Gdynia
9015,KW Garland Gliwice
9016,Giżycka Grupa Regatowa Nowy Sztynort Osada Wolności
9019,Procad GKŻ Gdańsk
9020,KS Górnik Boguszowice
9021,Grupa Regatowa Powidz 2
9023,Jacht klub Gryf Gdynia
9024,Garden Space Sailing Club
9025,KŻ Hals Gostynin
9026,Hear Studio Sailing Team
9027,KŻ Horn Kraków
9028,HRM Racing
9029,Inplag Sailing Team
9030,KS Iskra AMW Gdynia
9032,Yacht Club Jeziorak
9034,Jacht Klub Kamień Pomorski
9036,Jachtklub Wielkopolski Poznań
9037,JK Między Żaglami
9038,Junga Gdynia Olsztyński Klub Żeglarski
9039,Jachtklub Stoczni Gdańskiej
9040,Kościański Klub Żeglarski
9041,Klub Port Mechelinki
9042,Klub Żeglarski Ostróda
9043,Lasery Zegrze 2
9044,UKŻ Lamelka Kartuzy
9046,Legia Warszawa 2
9051,Małe Elektrownie Wodne Micro Class
9053,MOS Ilawa
9054,MUKŻ Bałtyk Mielno
9055,Politechnika Morska Szczecin
9056,Nauticus Olsztyn
9057,UKS Navigo
9058,KS Marina Niesulice
9060,Jachtklub Nowy Sztynort
9062,Ocean Challenge Yacht Club
9063,Odyssey Sailing Club
9065,Olsztyńska Grupa Regatowa
9066,Olsztyński Klub Żeglarski
9067,Onboard
9069,AZS Politechnika Gdańska
9070,Stowarzyszenie PPJK
9072,SEJK Pogoń Szczecin
9073,Polsporty Sailing
9074,SKŻ Powidz
9075,Fundacja Żeglarska PRO NAUTIS
9076,ProSport Caravela
9077,R2 Sailing Team
9078,Regatta Business Poland
9079,Baltic Trans Yacht Club Rewa
9080,MBSW Rainmaker Giżycko
9081,Centrum Żeglarskie Szczecin
9082,On Lemon Rockstars Racing
9083,Chotomowski Klub Żeglarski Satchwell
9084,Slava Racing
9085,KS Puchar Soliny
9086,Sport Vita Ski&Sail
9087,Symfonia Racing
9088,Sztorm Grupa
9089,The Barking Dogs YCG
9090,Texet – JKW Sailing Team
9091,DTP PMT TŻR Szczecin
9092,AZS WAT Warszawa
9093,UKS Albatros Wolin
9094,UKS Żeglarz Wrocław
9095,Warszawskie Towarzystwo Regatowe
9097,Yacht Club Sopot 2
9098,Yacht Club Białołęka
9099,Yacht Club Gdańsk
9101,Yacht Club Sopot
9102,YC Sztag AWF Katowice
9105,Lubelskie YKP Lublin
9106,Yacht Klub Polski Gdynia
9107,YKP Szczecin
9108,YKP Warszawa
